,t,Q,P,h,Target,dt,tIn,tOff,PRDay
0,2023-10-26 00:05:55,70.49833,148.5497,274.376139152,173.66181057647012,11.75,2023-10-26,2023-10-26 11:50:55,78.28482799175708
1,2023-10-26 00:20:55,68.29408,144.7483,275.191319308,168.5423164779493,11.75,2023-10-26,2023-10-26 11:50:55,78.5103069305754
2,2023-10-26 00:35:55,68.3209,144.6014,275.135743478,168.5744542377588,11.75,2023-10-26,2023-10-26 11:50:55,78.41567720604337
3,2023-10-26 00:50:55,69.18436,145.5877,274.857864328,170.63640947122977,11.75,2023-10-26,2023-10-26 11:50:55,78.04401114297563
4,2023-10-26 01:05:55,68.92157,145.4377,274.968914014,170.05694347541086,11.75,2023-10-26,2023-10-26 11:50:55,78.22926144622961
5,2023-10-26 01:20:55,68.90548,145.502,275.080167648,170.086032767262,11.75,2023-10-26,2023-10-26 11:50:55,78.25046244911522
6,2023-10-26 01:35:55,68.62123,145.3474,275.024591818,169.3501695347461,11.75,2023-10-26,2023-10-26 11:50:55,78.5069730767821
7,2023-10-26 01:50:55,68.47106,144.859,274.987473282,168.8539136894896,11.75,2023-10-26,2023-10-26 11:50:55,78.42535869086105
8,2023-10-26 02:05:55,67.46816,143.8391,275.56179084999997,166.6126755474031,11.75,2023-10-26,2023-10-26 11:50:55,78.86604912173375
9,2023-10-26 02:20:55,68.65341,144.7768,275.41362262800004,169.6692498816918,11.75,2023-10-26,2023-10-26 11:50:55,78.0517122304796
10,2023-10-26 02:35:55,69.00201,145.8879,274.83930505999996,170.17516961824924,11.75,2023-10-26,2023-10-26 11:50:55,78.41690222498518
11,2023-10-26 02:50:55,67.53252,143.6834,275.50621502,166.85357859121456,11.75,2023-10-26,2023-10-26 11:50:55,78.72147676850754
12,2023-10-26 03:05:55,67.96157,144.19,275.524774288,167.92495003684414,11.75,2023-10-26,2023-10-26 11:50:55,78.49501487381792
13,2023-10-26 03:20:55,68.12246,144.6818,275.06160838,168.03953461726275,11.75,2023-10-26,2023-10-26 11:50:55,78.70903632488498
14,2023-10-26 03:35:55,69.25408,145.9599,275.543333556,171.2343467162491,11.75,2023-10-26,2023-10-26 11:50:55,77.97031292638769
15,2023-10-26 03:50:55,68.57297,145.6123,275.024591818,169.2310687960717,11.75,2023-10-26,2023-10-26 11:50:55,78.70540640068327
16,2023-10-26 04:05:55,67.94548,144.0379,275.320928262,167.7609842976525,11.75,2023-10-26,2023-10-26 11:50:55,78.4888520655146
17,2023-10-26 04:20:55,66.48671,144.612,275.96938092799996,164.30531024874645,11.75,2023-10-26,2023-10-26 11:50:55,80.34143467099031
18,2023-10-26 04:35:55,68.20291,144.0849,275.2839117,168.3739518693051,11.75,2023-10-26,2023-10-26 11:50:55,78.22863028486523
19,2023-10-26 04:50:55,66.71196,144.1764,275.876788536,164.93356111538898,11.75,2023-10-26,2023-10-26 11:50:55,79.85577110541635
20,2023-10-26 05:05:55,66.82458,144.2381,275.858229268,165.20087978120299,11.75,2023-10-26,2023-10-26 11:50:55,79.76067185719958
21,2023-10-26 05:20:55,0.0,5.847617,291.84652878,0.0,11.75,2023-10-26,2023-10-26 11:50:55,inf
22,2023-10-26 05:35:55,24.1609,42.36457,290.549725422,30.29091179041928,11.75,2023-10-26,2023-10-26 11:50:55,61.51771816622017
23,2023-10-26 05:50:55,21.06101,41.97572,291.216635382,26.465136804372847,11.75,2023-10-26,2023-10-26 11:50:55,69.76438540602898
24,2023-10-26 06:05:55,46.62168,104.6821,283.30590035800003,117.85831045988819,11.75,2023-10-26,2023-10-26 11:50:55,80.79042266559323
25,2023-10-26 06:20:55,71.84984,148.9859,274.042684172,176.91217663471727,11.75,2023-10-26,2023-10-26 11:50:55,77.13156502030672
26,2023-10-26 06:35:55,73.92537,156.4869,273.042217258,181.45321759202562,11.75,2023-10-26,2023-10-26 11:50:55,79.02885159052974
27,2023-10-26 06:50:55,69.99956,147.0118,274.579883204,172.5612113205819,11.75,2023-10-26,2023-10-26 11:50:55,77.96849685542612
28,2023-10-26 07:05:55,70.98101,149.3942,274.28354676000004,174.8658092507457,11.75,2023-10-26,2023-10-26 11:50:55,78.22089813352756
