t,Q,P,Bar,Eta
2025-06-24 21:16:53,0.05442503,118.9382,27.45696,0.7956311372004429
2025-06-24 21:31:54,0.054113970000000004,117.3722,27.48603,0.7888335434218584
2025-06-24 21:46:54,0.05472,119.1627,27.44606,0.7931508158539569
2025-06-24 22:01:54,0.05450548,118.7055,27.4715,0.7924827854443546
2025-06-24 22:16:53,0.05434458,118.3476,27.46423,0.7926424523263674
2025-06-24 22:31:53,0.05418906,118.5845,27.46423,0.796508508298331
2025-06-24 22:46:54,0.054290950000000004,118.5843,27.46605,0.7949596476470449
2025-06-24 23:01:53,0.05378682,118.3295,27.54053,0.7985211151898725
2025-06-24 23:16:54,0.053802909999999995,118.2355,27.526,0.7980692150641655
2025-06-24 23:31:53,0.054178330000000004,118.9909,27.52964,0.797497151387391
2025-06-24 23:46:54,0.05390481,117.892,27.47332,0.7957693515440545
2025-06-25 00:01:53,0.0539209,118.121,27.47332,0.79707717946579
2025-06-25 00:16:54,0.054290950000000004,118.1848,27.46423,0.7923340019505252
2025-06-25 00:31:53,0.05283218,115.4808,27.51147,0.7942166615769211
2025-06-25 00:46:53,0.05268738,115.666,27.51147,0.7976766057197944
2025-06-25 01:01:53,0.05288581,115.2573,27.50602,0.7920326124195719
2025-06-25 01:16:54,0.05299844,115.4966,27.50783,0.7919382489481466
2025-06-25 01:31:54,0.05289117,115.3369,27.50965,0.7923947195168287
2025-06-25 01:46:54,0.05347039,116.8278,27.48785,0.794572649812786
2025-06-25 02:01:53,0.05240849,114.1019,27.52055,0.7908163828641657
2025-06-25 02:16:54,0.053255870000000004,115.8164,27.49693,0.7906056377531318
2025-06-25 02:31:54,0.05284291000000001,115.3472,27.50783,0.7932417002627236
2025-06-25 02:46:53,0.052944809999999995,115.273,27.50783,0.7912057003825633
2025-06-25 03:01:54,0.05321833,115.9179,27.52237,0.7911247491673937
2025-06-25 03:16:54,0.05207598,113.8478,27.49148,0.7949331497341535
2025-06-25 03:31:54,0.05259084,114.7481,27.50965,0.7928515291578552
2025-06-25 03:46:53,0.052145699999999996,113.7404,27.52055,0.7922836212089437
2025-06-25 04:01:53,0.05218324,113.9502,27.52782,0.7929645438182134
2025-06-25 04:16:54,0.05197408,113.4358,27.5369,0.792300295139598
2025-06-25 04:31:54,0.05207598,113.4927,27.53508,0.7911988937687685
2025-06-25 04:46:53,0.05277319,116.8424,27.58051,0.8024654942903303
2025-06-25 05:01:53,0.05221542,113.9231,27.52964,0.7922349975901993
2025-06-25 05:16:54,0.0520009,113.7339,27.5369,0.7939726845757474
2025-06-25 05:31:53,0.05230659,114.0516,27.526,0.7918508842316965
2025-06-25 05:46:53,0.052429949999999996,114.4187,27.51873,0.7927398969269664
2025-06-25 06:01:53,0.05170056,111.5959,27.51147,0.7842973235435473
2025-06-25 06:16:54,0.05094972,112.5177,27.62411,0.7991573299525363
2025-06-25 06:31:53,0.050536769999999995,110.4157,27.57687,0.7919903951414361
2025-06-25 06:46:54,0.05154503,112.7642,27.5478,0.7938511214451419
2025-06-25 07:01:53,0.050660119999999996,110.881,27.57687,0.793391394383393
2025-06-25 07:16:54,0.05142704,111.399,27.51328,0.787025734967658
2025-06-25 07:31:53,0.05020425,110.2287,27.5696,0.7960956930817582
2025-06-25 07:46:54,0.0507352,110.5945,27.58777,0.7898581317716359
2025-06-25 08:01:53,0.050445590000000005,111.6762,27.60594,0.8016345370470095
2025-06-25 08:16:54,0.05170056,112.556,27.5369,0.7903143972741081
2025-06-25 08:31:54,0.05151286,112.2953,27.55144,0.7909392941860419
2025-06-25 08:46:53,0.0506333,111.3769,27.58414,0.7971517093675758
2025-06-25 09:01:54,0.050493859999999995,110.1242,27.58051,0.7904664464163914
2025-06-25 09:16:54,0.05077274,112.5977,27.63683,0.8021437954859647
2025-06-25 09:31:53,0.050322240000000004,109.8382,27.58414,0.7909982663327871
2025-06-25 09:46:53,0.0505314,109.123,27.5369,0.7839375301797477
2025-06-25 10:01:54,0.01175062,19.69959,28.47799,0.5884758024537637
2025-06-25 10:16:54,0.01178279,18.67546,28.5325,0.555296430625071
2025-06-25 10:31:54,0.011772069999999999,18.77239,28.47618,0.5597918100783544
2025-06-25 10:46:54,0.01160581,19.95449,28.39987,0.6051880745440502
2025-06-25 11:01:54,0.012142120000000001,19.55616,28.5107,0.5647064111123832
2025-06-25 11:16:54,0.05950928,128.4282,27.37521,0.7880608957508143
2025-06-25 11:31:53,0.06117721,132.4521,27.22987,0.7948133459423776
2025-06-25 11:46:53,0.06117721,132.9702,27.25167,0.797284041266226
2025-06-25 12:01:54,0.06051218,131.3993,27.25167,0.7965236382950498
2025-06-25 12:16:53,0.0590266,128.5374,27.30072,0.7973503322533076
2025-06-25 12:31:54,0.05785207,126.3714,27.34069,0.7986600492234343
2025-06-25 12:46:54,0.057905700000000004,126.0499,27.34614,0.7957317631342056
2025-06-25 13:01:54,0.05701006,125.199,27.38066,0.8017648029632027
